id,name,description,enabled,verify_email,remember_me
1,Regrant,"Repair Left Upper Femur, External Approach",false,false,false
2,It,"Replacement of R Renal Vein with Nonaut Sub, Open Approach",true,true,true
3,Duobam,"Insert of Infusion Dev into R Com Iliac Vein, Perc Approach",true,true,true
4,Bytecard,"Insertion of Int Fix into L Tibia, Open Approach",true,true,false
5,Transcof,"Supplement Right Knee Joint with Synth Sub, Perc Approach",true,true,false
6,Tempsoft,"Supplement L Tympanic Membrane with Autol Sub, Via Opening",true,false,false
7,Fixflex,"Revision of Spacer in R Acromioclav Jt, Perc Approach",true,false,true
8,Sonsing,"Insertion of Int Fix into R Metatarsal, Perc Endo Approach",true,true,false
9,Tres-Zap,"Supplement R Carpal Jt with Nonaut Sub, Perc Endo Approach",false,true,false
10,Quo Lux,"Replace R Cephalic Vein w Synth Sub, Perc Endo",false,false,true
11,Ventosanzap,"Supplement R Hip Tendon with Autol Sub, Perc Endo Approach",false,false,true
12,Gembucket,"Dilate Gastric Art, Bifurc, w 2 Drug-elut, Open",true,false,false
13,Biodex,"Drainage of Right Tarsal, Percutaneous Approach, Diagnostic",false,true,true
14,Latlux,CT Scan of Bi Verteb Art using Intravasc Optic Cohere,false,false,true
15,Konklux,"Bypass Low Esophag to Stomach w Autol Sub, Perc Endo",true,true,true
16,Sonair,"Bypass Abdominal Aorta to R Ext Ilia, Perc Endo Approach",false,true,false
17,Latlux,"Bypass 3 Cor Art from R Int Mammary w Autol Art, Open",true,true,true
18,Cardify,"Supplement L Ankle Tendon with Autol Sub, Perc Endo Approach",true,false,true
19,Fix San,"Insertion of Infusion Dev into R Verteb Art, Perc Approach",false,true,true
20,Zontrax,"Revision of Drainage Device in L Carpal Jt, Extern Approach",true,true,true
21,Zoolab,"Revision of Ext Fix in R Hip Jt, Open Approach",true,false,false
22,Sonsing,"Reattachment of Right Ankle Tendon, Perc Endo Approach",false,true,false
23,Cardguard,"Revise Synth Sub in L Finger Phalanx Jt, Perc Endo",true,true,false
24,Bitchip,"Repair Right Face Vein, Percutaneous Approach",true,false,false
25,Tampflex,"Supplement R Glenoid Cav with Autol Sub, Perc Endo Approach",false,false,true
26,Cardguard,"Bypass Right Brachial Artery to Low Arm Vein, Open Approach",false,false,true
27,Andalax,"Revision of Autol Sub in L Acetabulum, Extern Approach",true,false,false
28,Span,"Excision of Left Lower Leg, Open Approach",true,true,false
29,Zamit,Computerized Tomography (CT Scan) of Chest and Abdomen,false,false,false
30,Voyatouch,"Repair Papillary Muscle, Percutaneous Endoscopic Approach",false,true,true
31,Overhold,"Fluoroscopy Inf Mesent Art w L Osm Contrast, Laser Intraop",false,false,false
32,Stim,"Insertion of Ext Fix into L Maxilla, Perc Approach",false,false,true
33,Bitchip,"Drainage of Left Vocal Cord, Open Approach, Diagnostic",true,true,false
34,Voyatouch,"Transplantation of L Low Lung Lobe, Allogen, Open Approach",true,true,false
35,Overhold,"Dilate of R Ant Tib Art with 2 Drug-elut, Perc Endo Approach",true,false,true
36,Stim,"Drainage of Right Lower Lobe Bronchus, Open Approach",true,false,true
37,Ventosanzap,ROM/Jt Integrity Assessment of Neuro Body using Oth Equip,false,true,true
38,Daltfresh,CT Scan of L Hand using H Osm Contrast,false,true,true
39,Stringtough,"Removal of Synthetic Substitute from Stomach, Via Opening",true,true,false
40,Prodder,"Supplement Left Knee Tendon with Autol Sub, Open Approach",true,true,false
41,Tin,"Occlusion of Right Vas Deferens, Perc Endo Approach",true,false,true
42,Kanlam,"Reattachment of R Shoulder Bursa/Lig, Perc Endo Approach",false,true,false
43,Bytecard,"Replace L Ext Iliac Vein w Synth Sub, Perc Endo",true,false,true
44,Lotlux,"Alteration of L Wrist with Nonaut Sub, Perc Endo Approach",false,true,false
45,Toughjoyfax,"Bypass R Popl Art to Low Ex Art w Autol Art, Perc Endo",false,false,false
46,Temp,"Bypass 2 Cor Art from R Int Mammary w Nonaut Sub, Open",true,false,true
47,Cardguard,"Revision of Intraluminal Device in Left Eye, Perc Approach",true,true,true
48,Temp,"Removal of Autol Sub from Cranial Nrv, Perc Approach",false,false,false
49,Zoolab,"Replacement of L Ethmoid Bone with Autol Sub, Perc Approach",false,false,false
50,Zaam-Dox,"Excision of Lumbar Vertebral Disc, Perc Approach, Diagn",false,true,false
